,ID,hashtag,prediction
1781,6004065105.0,STARBUCKS,packet
1785,9841404703.0,STARBUCKS,cup
1787,1169986508.0,STARBUCKS,packet
1788,12056489896.0,STARBUCKS,ice_cream
1792,1427259582.0,STARBUCKS,coffee_mug
1798,2263864201.0,STARBUCKS,ice_cream
1803,4171354331.0,STARBUCKS,packet
1804,513036157.0,STARBUCKS,espresso
1806,5540420197.0,STARBUCKS,cup
1809,6855243078.0,STARBUCKS,cup
1810,7271814958.0,STARBUCKS,ice_cream
1812,8294842293.0,STARBUCKS,cup
1814,9175783479.0,STARBUCKS,cup
1816,9721700838.0,STARBUCKS,bucket
1819,11407010324.0,STARBUCKS,Christmas_stocking
1821,1334789790.0,STARBUCKS,espresso
1823,210218467.0,STARBUCKS,espresso
1828,24977965774.0,STARBUCKS,ice_cream
1833,33005751.0,STARBUCKS,coffee_mug
1834,3494311721.0,STARBUCKS,ice_cream
1838,4795604141.0,STARBUCKS,ice_cream
1839,5420380135.0,STARBUCKS,cup
1843,6855243078.0,STARBUCKS,coffee_mug
1845,8124076871.0,STARBUCKS,cup
1847,8902918365.0,STARBUCKS,cup
1849,12191099969.0,STARBUCKS,web_site
1856,18867799498.0,STARBUCKS,bucket
1858,19306545173.0,STARBUCKS,bucket
1861,22118479065.0,STARBUCKS,web_site
1863,23204104068.0,STARBUCKS,eggnog
1865,3035983990.0,STARBUCKS,eggnog
1868,3880914689.0,STARBUCKS,wig
1873,5765683072.0,STARBUCKS,espresso
1874,6003053402.0,STARBUCKS,ice_cream
1881,1633012589.0,STARBUCKS,packet
1887,3459964785.0,STARBUCKS,cup
1890,3898160274.0,STARBUCKS,cup
1891,4113408949.0,STARBUCKS,eggnog
1898,6649841602.0,STARBUCKS,web_site
1905,8067252.0,STARBUCKS,cup
1913,13621246182.0,STARBUCKS,coffee_mug
1916,1934492441.0,STARBUCKS,web_site
1917,19592599153.0,STARBUCKS,ice_cream
1918,2158513587.0,STARBUCKS,coffee_mug
1924,3417572416.0,STARBUCKS,ice_cream
1925,3615950973.0,STARBUCKS,cup
1927,4252726548.0,STARBUCKS,bucket
1931,606707862.0,STARBUCKS,eggnog
1933,6318390382.0,STARBUCKS,ice_cream
1934,7272829008.0,STARBUCKS,packet
1938,8517485111.0,STARBUCKS,bucket
1942,11683792.0,STARBUCKS,espresso
1943,12612503676.0,STARBUCKS,ice_cream
1944,1283331626.0,STARBUCKS,Christmas_stocking
1945,13851448553.0,STARBUCKS,ice_cream
1946,1441494875.0,STARBUCKS,ice_cream
1947,1479145372.0,STARBUCKS,bucket
1948,15229243995.0,STARBUCKS,coffee_mug
1949,1581976721.0,STARBUCKS,ice_cream
1951,1647289074.0,STARBUCKS,ice_cream
1956,2367932446.0,STARBUCKS,Christmas_stocking
1957,24308919410.0,STARBUCKS,bucket
1959,260611991.0,STARBUCKS,cup
1966,5397536642.0,STARBUCKS,ice_cream
1968,6030641769.0,STARBUCKS,cup
1970,8311456914.0,STARBUCKS,coffee_mug
1972,1120724342.0,STARBUCKS,coffee_mug
1981,19838154017.0,STARBUCKS,eggnog
1985,260879940.0,STARBUCKS,eggnog
1987,3615950973.0,STARBUCKS,coffee_mug
1989,4087841560.0,STARBUCKS,Christmas_stocking
1992,6152845266.0,STARBUCKS,coffee_mug
1993,6850019430.0,STARBUCKS,web_site
1997,8308397270.0,STARBUCKS,eggnog
2000,8599280306.0,STARBUCKS,web_site
2008,1795934797.0,STARBUCKS,ice_cream
2014,2325039474.0,STARBUCKS,ice_cream
2015,23334965026.0,STARBUCKS,bucket
2016,2350794838.0,STARBUCKS,coffee_mug
2020,3259765448.0,STARBUCKS,web_site
2021,3305345262.0,STARBUCKS,espresso
2027,600202186.0,STARBUCKS,espresso
2028,7096060450.0,STARBUCKS,coffee_mug
2032,995185622.0,STARBUCKS,Christmas_stocking
2034,1095955392.0,STARBUCKS,cup
2036,12123802024.0,STARBUCKS,packet
2038,1451366699.0,STARBUCKS,ice_cream
2040,1720305694.0,STARBUCKS,Christmas_stocking
2044,24082449986.0,STARBUCKS,bucket
2045,24104777669.0,STARBUCKS,ice_cream
2050,412534837.0,STARBUCKS,espresso
2052,5090065737.0,STARBUCKS,ice_cream
2057,6404739570.0,STARBUCKS,ice_cream
2060,7502103543.0,STARBUCKS,ice_cream
2063,900954882.0,STARBUCKS,bucket
2064,9709491520.0,STARBUCKS,eggnog
2068,1231308201.0,STARBUCKS,coffee_mug
2075,21951817372.0,STARBUCKS,bucket
2077,247040458.0,STARBUCKS,ice_cream
2084,5617159764.0,STARBUCKS,Christmas_stocking
2090,8199261123.0,STARBUCKS,bucket
2092,8670458795.0,STARBUCKS,coffee_mug
2095,9185883110.0,STARBUCKS,coffee_mug
2096,11470714869.0,STARBUCKS,web_site
2099,1292241113.0,STARBUCKS,espresso
2101,1451808738.0,STARBUCKS,coffee_mug
2103,1545629183.0,STARBUCKS,eggnog
2104,1551601172.0,STARBUCKS,cup
2108,207784970.0,STARBUCKS,cup
2110,2117483442.0,STARBUCKS,ice_cream
